id;start_date;end_date;salary
1;2024-10-15T06:34:09;2024-10-15T04:24:24;57433
2;2024-10-14T16:01:44;2024-10-15T01:27:13;29253
3;2024-10-15T01:57:56;2024-10-14T14:03:04;92486
4;2024-10-15T06:28:45;2024-10-14T11:55:04;24495
5;2024-10-15T08:45:08;2024-10-14T17:04:06;40804
6;2024-10-14T18:15:51;2024-10-15T08:16:11;85707
7;2024-10-15T02:19:39;2024-10-14T12:53:48;27840
8;2024-10-14T16:45:32;2024-10-14T13:21:21;22582
9;2024-10-14T17:37:10;2024-10-15T05:08:36;28298
10;2024-10-14T13:34:08;2024-10-15T06:31:37;22145
